"","X1","X2","X3","X4","X5","X6","X7","X8","X9","year"
"1","","","Athlete","","Mark","ST","Team","Date","Meet",2011
"2","1.","12","Aisling Cuffe","","4:40.56PR","NY","Cornwall Central","May 12","Glenn D. Loucks Games (44th) 2011",2011
"3","2.","11","Camille Chapus","","4:40.88PR","CA","Harvard-Westlake","Jun 04","CIF State Championship Finals",2011
"4","3.","11","Haley Pierce","","4:41.19PR","DE","Tatnall","May 14","New Castle County Championships",2011
"5","4.","12","Alli Billmeyer","","4:41.71PR","CA","Torrey Pines","Jun 04","CIF State Championship Finals",2011
"6","5.","12","Jordan Smith","","4:42.07PR","VA","Lebanon","Jun 04","VHSL Group A State Championships",2011
"7","6.","10","Hannah Meier","","4:42.60","MI","Grosse Pointe South","Jun 04","MHSAA Division I L.P. State Finals",2011
"8","7.","10","Amy-Eloise Neale","","4:43.34PR","WA","Glacier Peak","May 20","NW District 1 3A Championship Day 2",2011
"9","8.","10","Nikki Hiltz","","4:43.43","CA","Aptos","Jun 04","CIF State Championship Finals",2011
"10","9.","12","Waverly Neer","","4:43.46PR","IN","Culver Academies","Jun 04","IHSAA State Finals",2011
"11","10.","12","Kayla Beattie","","4:43.65PR","IL","Woodstock","May 21","IHSA Girls AA State Finals 2011",2011
"12","11.","12","Molly McNamara","","4:44.90PR","NJ","Red Bank Catholic","Jun 03","Non Public A State Meet",2011
"13","12.","10","Haley Meier","","4:45.80","MI","Grosse Pointe South","Jun 04","MHSAA Division I L.P. State Finals",2011
"14","13.","10","Katie Knight","","4:46.83","WA","North Central","May 28","WIAA 2A/3A/4A State Championship - All Days",2011
"15","14.","11","Maddie Meyers","","4:46.85PR","WA","Northwest","May 28","1a State Track & Field Champion..",2011
"16","15.","10","Wesley Frazier","","4:47.34","NC","Ravenscroft","May 20","NCISAA 3A State Championships",2011
"17","16.","11","Allison Sturges","","4:47.65PR","CA","Mountain View","Jun 04","CIF State Championship Finals",2011
"18","17.","12","Stephanie Bulder","","4:47.81PR","CA","Saugus","Jun 04","CIF State Championship Finals",2011
"19","18.","10","Kelly Lawson","","4:48.20PR","CA","La Costa Canyon","Jun 04","CIF State Championship Finals",2011
"20","19.","11","Megan Moye","","4:48.21","VA","Cosby","Jun 04","VHSL Group AAA State Championships",2011
"21","20.","12","Brook Handler","","4:49.70PR","MI","Rochester","Jun 04","MHSAA Division I L.P. State Finals",2011
"22","21.","10","Ali Teliha","","4:49.73PR","CA","Bullard","Jun 04","CIF State Championship Finals",2011
"23","22.","10","Sarah Gillespie","","4:49.89PR","CT","Northwest Catholic","Jun 06","CIAC State Open Championship 2011",2011
"24","23.","12","Aubree Worden","","4:50.06PR","NE","Scottsbluff","May 21","Class B State Championship Day Two",2011
"25","24.","11","Erika Reddish","","4:50.52","CA","Vista Murrieta","Jun 04","CIF State Championship Finals",2011
"26","25.","12","Erica Capellino","","4:51.10PR","CA","Palos Verdes","May 21","CIF SS Divisional Finals",2011
"27","26.","11","Savannah Camacho","","4:51.15","CA","Templeton","May 21","CIF SS Divisional Finals",2011
"28","27.","12","Gabrielle Anzalone","","4:51.2hPR","MI","Grand Blanc","May 20","MHSAA Regional 9-1",2011
"29","28.","11","Julia Zrinyi","","4:51.50PR","ON","Vincent Massey","May 12","Glenn D. Loucks Games (44th) 2011",2011
"30","29.","12","Joelle Amaral","","4:51.54PR","NJ","Randolph","Jun 03","NJSIAA Grp IV Championship",2011
"31","","11","Molly Seidel","","4:51.54PR","WI","University Lake","Jun 04","WIAA D1, D2, & D3 Track & Field State Championships",2011
"32","31.","12","Molly Grabill","","4:51.55","CA","Rancho Bernardo","Mar 12","Bronco Invitational",2011
"33","32.","11","Camille Chapus","","4:51.66PR","CA","Harvard-Westlake","Mar 26","ASICS/Mt. Carmel Invitational",2011
"34","33.","11","Carrie Verdon","","4:51.80PR","CA","Campolindo","May 28","NCS Meet of Champions Finals",2011
"35","34.","10","Kendra Weitz","","4:51.89PR","WA","Shadle Park","May 20","GSL/Big 9 Regionals",2011
