"","X1","X2","X3","X4","X5","X6","X7","X8","X9","year"
"1","","","Athlete","","Mark","ST","Team","Date","Meet",2019
"2","1.","17-18","Athing Mu","","2:01.38PR","NJ","Trenton Track","Jun 01","Music City Distance Carnival",2019
"3","2.","15-16","Michaela Rose","","2:04.38PR","VA","F.I.A. Ambassadors","Jun 16","2019 New Balance Nationals Outdoor",2019
"4","3.","9","Roisin Willis","","2:04.86PR","","Unattached","Jun 15","Brooks PR Invitational",2019
"5","4.","11","Victoria Vanriele","","2:05.15PR","","Unattached","Jun 15","Brooks PR Invitational",2019
"6","5.","9","Juliette Whittaker","","2:05.25PR","MD","Mt  de Sales","Jun 16","2019 New Balance Nationals Outdoor",2019
"7","6.","10","Taylor James","","2:05.83PR","CO","Niwot","Jun 01","Music City Distance Carnival",2019
"8","7.","11","Dominique Mustin","","2:06.01PR","AZ","North Canyon","Apr 06","Arcadia Invitational",2019
"9","8.","12","Morgan Foster","","2:06.13PR","AZ","Chandler","Mar 07","Brophy Prep AMDG Invitational",2019
"10","9.","10","Makayla Paige","","2:06.27PR","MA","Tewksbury Memorial","Jun 16","2019 New Balance Nationals Outdoor",2019
"11","10.","17-18","Marlena Preigh","","2:06.31PR","CO","RISE Athletics","Jun 23","USATF U-20 Junior National Championships",2019
"12","11.","10","Bailey Goggans","","2:06.61PR","TX","Marble Falls","Jun 01","Music City Distance Carnival",2019
"13","12.","12","Elizabeth Stanhope","","2:06.62PR","IN","Pike","Jun 01","IHSAA Girls State Track & Field Championships",2019
"14","13.","12","Lindsey Butler","","2:06.88PR","NY","Corning-Painted Post","Jun 08","NYSPHSAA Outdoor Track & Field Championships",2019
"15","14.","12","Jennelle Jaeger-Darakjy","","2:07.40PR","TX","El Paso Coronado","May 11","TX UIL 6A State Championships",2019
"16","15.","11","Maxana Grubb","","2:07.65PR","","Unattached","Jun 16","2019 New Balance Nationals Outdoor",2019
"17","16.","12","DeAnna Martin","","2:07.95PR","NY","Valley Stream South","Jun 16","2019 New Balance Nationals Outdoor",2019
"18","17.","12","Maggie Hock","","2:08.02PR","","Unattached","Jun 16","2019 New Balance Nationals Outdoor",2019
"19","18.","11","Maddie Russin","","2:08.23PR","IN","Crown Point","Jun 01","IHSAA Girls State Track & Field Championships",2019
"20","19.","11","Sarah Trainor","","2:08.27PR","NY","Franklin D. Roosevelt","Jun 08","NYSPHSAA Outdoor Track & Field Championships",2019
"21","20.","11","Victoria Starcher","","2:08.40","WV","Ripley","May 18","WVSSAC State Championships",2019
"22","","10","Jessica Edwards","","2:08.40PR","FL","Canterbury (Fort Myers)","May 04","FHSAA State Track & Field Championships",2019
"23","22.","12","Grace Forbes","","2:08.43PR","PA","Strath Haven","May 08","Central League Individual Championship",2019
"24","23.","9","Lea Hatcher","","2:08.45PR","WV","Morgantown","Jun 01","Music City Distance Carnival",2019
"25","24.","12","Isabel Van Camp","","2:08.50PR","TX","Keller","May 11","TX UIL 6A State Championships",2019
"26","","11","Julia Dvorak","","2:08.50PR","IN","Homestead","Jun 01","IHSAA Girls State Track & Field Championships",2019
"27","26.","11","KamiJoi Hickson","","2:08.51PR","PA","John Neumann & Maria Goretti","Apr 06","Diamond State Relays",2019
"28","27.","12","Marlena Preigh","","2:08.55","CO","Fairview","May 18","CHSAA State Track and Field Championship",2019
"29","28.","11","Lilly Lavier","","2:08.57PR","CO","Alamosa","Jun 01","Music City Distance Carnival",2019
"30","29.","12","Olivia Howell","","2:08.60PR","OH","Solon","Jun 01","OHSAA D1 State Track & Field Championships",2019
"31","30.","12","Gia Napoleon","","2:08.65","OH","Thomas Worthington","May 24","OHSAA D1 Region 3",2019
"32","31.","12","Gabby Hentemann","","2:08.70PR","MI","Grand Haven","Jun 01","MHSAA LP Finals - Division 1",2019
"33","32.","12","Brynne Sumner","","2:08.71PR","","Unattached","Jun 23","USATF U-20 Junior National Championships",2019
"34","33.","10","Alli Baker","","2:08.76PR","UT","Pine View","May 18","UHSAA State Championships",2019
"35","34.","10","Samantha Wallenstrom","","2:08.78PR","CA","Marin Catholic","May 25","CIF State Championship Finals",2019
"36","35.","10","Melissa Riggins","","2:08.86PR","PA","Shady Side Academy","May 25","PIAA State Championships",2019
"37","36.","11","Leena Morant","","2:08.91PR","NJ","Union Catholic Reg","Jun 08","NJSIAA State Meet Of Champions",2019
"38","37.","12","Lily Flynn","","2:09.09PR","NY","The Ursuline School (NY)","Jun 08","NYSPHSAA Outdoor Track & Field Championships",2019
"39","38.","11","Lily Williams","","2:09.10PR","CO","Grandview","May 18","CHSAA State Track and Field Championship",2019
"40","39.","12","Madison Martinez","","2:09.11","OH","Lincoln","Jun 01","OHSAA D1 State Track & Field Championships",2019
"41","40.","12","Alahna Sabbakhan","","2:09.12PR","DC","St John's College","Jun 16","2019 New Balance Nationals Outdoor",2019
"42","41.","12","Anastaysia Davis","","2:09.26PR","TX","Lewisville Flower Mound","Apr 27","UIL 6A Region I",2019
"43","42.","11","Charlotte Tomkinson","","2:09.41PR","CA","Menlo","May 25","CIF State Championship Finals",2019
"44","43.","11","Nicole Anderson","","2:09.42PR","MA","Billerica Memorial","Jun 01","MIAA All State Championship",2019
"45","44.","12","Amber Gall","","2:09.43PR","","Unattached","Jun 08","Midwest Meet Of Champions",2019
"46","45.","10","Jinah Mickens-Malik","","2:09.48","FL","Mater Academy","Jun 01","Music City Distance Carnival",2019
"47","46.","9","Chloe Foerster","","2:09.52PR","OR","Jesuit","May 25","OSAA 6A State Championships",2019
"48","47.","11","Taryn Parks","","2:09.56PR","PA","Greencastle Antrim","May 18","PIAA District 3 AAA Championships",2019
"49","48.","10","Allison Johnson","","2:09.66PR","OH","Mount Gilead","Jun 16","2019 New Balance Nationals Outdoor",2019
"50","49.","11","Kate Jendrezak","","2:09.71PR","WA","Eastside Catholic","Apr 06","Arcadia Invitational",2019
"51","50.","11","Natalie Varela","","2:09.82PR","FL","Gulliver Prep","May 04","FHSAA State Track & Field Championships",2019
"52","51.","10","Abigail Lynch","","2:09.83PR","IN","Brownsburg","Jun 01","IHSAA Girls State Track & Field Championships",2019
"53","52.","11","Mackenzie Michael","","2:09.88PR","IA","Cedar Falls","Apr 27","Drake Relays",2019
"54","53.","11","Maddie Ullom","","2:09.95PR","OH","Mason","Jun 01","OHSAA D1 State Track & Field Championships",2019
"55","54.","9","Ashlyn Keeney","","2:09.99PR","IA","Iowa City - Liberty","Apr 27","Drake Relays",2019
"56","55.","11","Keara Seasholtz","","2:10.00PR","PA","Radnor","May 25","PIAA State Championships",2019
"57","56.","12","Rayna Stanziano","","2:10.07","CA","Concord","May 25","CIF State Championship Finals",2019
"58","57.","12","Ani Henderson","","2:10.12PR","GA","Marietta","Jun 01","Music City Distance Carnival",2019
"59","","19+","Rianna Goins","","2:10.12PR","","Unattached","Jun 29","So Cal Jim Bush Championships",2019
"60","59.","9","Addison Wiley","","2:10.15PR","IN","Huntington North","Jun 16","2019 New Balance Nationals Outdoor",2019
"61","60.","11","Alli Bookin-nosbisch","","2:10.23PR","IA","Ottumwa","Apr 27","Drake Relays",2019
"62","61.","12","Kate McAndrew","","2:10.29PR","NJ","Morris Catholic","Jun 01","NJSIAA Group NPB Championship",2019
"63","62.","-","Tatyana Gibson","","2:10.30PR","PA","Milton Hershey","May 25","PIAA State Championships",2019
"64","63.","12","Haley Riorden","","2:10.38","NY","Rush Henrietta Senior","Jun 08","NYSPHSAA Outdoor Track & Field Championships",2019
"65","64.","12","Nikki Merrill","","2:10.41","RI","Portsmouth","May 25","Mt. Pleasant Girls Invitational",2019
"66","65.","11","Isabella Fauria","","2:10.49PR","CA","St Francis","May 25","CIF State Championship Finals",2019
"67","66.","10","Molly Grant","","2:10.51PR","OR","Jesuit","May 25","OSAA 6A State Championships",2019
"68","67.","11","Jodie Pierce","","2:10.52PR","OH","Beavercreek","Jun 01","OHSAA D1 State Track & Field Championships",2019
"69","68.","11","Erin Reidy","","2:10.53PR","IL","Downers Grove (South)","Jun 08","Midwest Distance Classic",2019
"70","69.","12","Shelby Whetstone","","2:10.55PR","NJ","Lenape","Jun 01","NJSIAA Group 4 Championship",2019
"71","","10","Fajr Kelly","","2:10.55PR","DC","Roosevelt","May 23","DCSAA Outdoor Track and Field State Championships",2019
"72","71.","10","Carina Napoleon","","2:10.57PR","","Unattached","Jun 16","2019 New Balance Nationals Outdoor",2019
"73","72.","11","Isabel Max","","2:10.58PR","","Unattached","Jun 08","Portland Track Festival High Performance",2019
"74","73.","11","Tsion Yared","","2:10.62PR","FL","Pine Crest","Apr 13","FHSAA 2A District 15",2019
"75","74.","12","Grace Boone","","2:10.63PR","VA","Pulaski County","May 10","Southern Track Classic",2019
"76","75.","12","Nicole Merrill","","2:10.72PR","RI","Portsmouth","Jun 16","2019 New Balance Nationals Outdoor",2019
"77","76.","11","Zofia Dudek","","2:10.80PR","MI","Ann Arbor Pioneer","May 28","Larry Steeb Meet Of Champions",2019
"78","77.","11","Katelynne Hart","","2:10.81PR","IL","Glenbard West","Apr 26","42nd Annual Tiger Invitational",2019
"79","","12","Samantha Bush","","2:10.81PR","","Unattached","Jun 08","Midwest Meet Of Champions",2019
"80","79.","11","Sierra Dinneen","","2:10.82PR","NY","Notre Dame Academy","Jun 02","Eastern States Invitational",2019
"81","80.","11","Megan Marvin","","2:10.87PR","NC","Chapel Hill","Mar 21","East Chapel Hill/Chapel Hill/Cedar Ridge Tri-Meet",2019
"82","","11","Hannah Wilson","","2:10.87PR","CA","Oaks Christian","May 25","CIF State Championship Finals",2019
"83","82.","11","Jasmin Muhammad G","","2:10.95PR","NY","Medgar Evers College Prep","Jun 02","Eastern States Invitational",2019
"84","83.","12","Liah Collins","","2:10.96PR","TX","Rockwall","May 11","TX UIL 6A State Championships",2019
"85","84.","12","Lauren Harper","","2:10.98PR","CA","Trinity","May 25","CIF State Championship Finals",2019
"86","85.","11","Katelyn Tuohy","","2:11.01","NY","North Rockland","May 23","Section 1 Class A Championships",2019
"87","86.","12","Anna Hall","","2:11.02PR","","Unattached","Jun 15","Brooks PR Invitational",2019
"88","87.","11","Sierra Oliveira","","2:11.04PR","FL","Evangelical Christian","May 04","FHSAA State Track & Field Championships",2019
"89","88.","10","Presley Miles","","2:11.08PR","","Unattached","Jun 16","2019 New Balance Nationals Outdoor",2019
"90","89.","9","Ella Borsheim","","2:11.09PR","WA","Bellarmine Prep","Jun 08","Portland Track Festival High Performance",2019
"91","90.","12","Oliva Boone","","2:11.10PR","","Unattached","Jun 16","2019 New Balance Nationals Outdoor",2019
"92","91.","10","Daphne Matthews","","2:11.16PR","OK","Heritage Hall","May 04","OSSAA 4A State Championships",2019
"93","","9","Ainsley Erzen","","2:11.16PR","IA","Carlisle","Apr 27","Drake Relays",2019
"94","","10","Audrey Suarez","","2:11.16PR","CA","Mayfield","May 11","CIF-SS Division 4 Finals",2019
"95","94.","12","Jatana Folston","","2:11.20PR","FL","Cocoa","May 04","FHSAA State Track & Field Championships",2019
"96","95.","11","Cynthia Boryeskne","","2:11.24PR","NJ","Edison","Jun 01","NJSIAA Group 4 Championship",2019
"97","96.","10","Alicia Ruiz","","2:11.25PR","FL","George Jenkins","May 04","FHSAA State Track & Field Championships",2019
"98","97.","12","Morgan Calcagnie","","2:11.26PR","CA","Mission Viejo","Apr 26","South Coast League Finals",2019
"99","98.","11","Jenna Schwinghamer","","2:11.28PR","OH","Springboro","Jun 01","OHSAA D1 State Track & Field Championships",2019
"100","99.","10","Makayla Browne","","2:11.30PR","CA","John W. North","May 18","CIF-SS Masters Meet",2019
"101","100.","12","Ericka VanderLende","","2:11.32PR","MI","Rockford","Jun 01","MHSAA LP Finals - Division 1",2019
"102","View Next Page 
                    (Total stats: 67,061)","View Next Page 
                    (Total stats: 67,061)","View Next Page 
                    (Total stats: 67,061)","View Next Page 
                    (Total stats: 67,061)","View Next Page 
                    (Total stats: 67,061)","View Next Page 
                    (Total stats: 67,061)","View Next Page 
                    (Total stats: 67,061)","View Next Page 
                    (Total stats: 67,061)",NA,2019
"103","","","Athlete","","Mark","ST","Team","Date","Meet",2019
"104","101.","12","Morgan Walsh","","2:11.33PR","OH","West Clermont","Jun 01","OHSAA D1 State Track & Field Championships",2019
"105","102.","11","Taryn Chapko","","2:11.35PR","","Unattached","Jun 16","2019 New Balance Nationals Outdoor",2019
"106","103.","12","Jessica Riedman","","2:11.37PR","CA","La Costa Canyon","Apr 20","61st Annual Mt. SAC Relays (High School Day 2)",2019
"107","104.","12","Malia Anderson","","2:11.40","PA","Greensburg Salem","May 25","PIAA State Championships",2019
"108","","12","Fatima Cortes","","2:11.40PR","CA","Great Oak","May 18","CIF-SS Masters Meet",2019
"109","106.","11","Kayla Jones","","2:11.41PR","OH","Westerville Central","Jun 01","OHSAA D1 State Track & Field Championships",2019
"110","","11","Jada Dennis","","2:11.41PR","NY","Shenendehowa Central","May 18","The Eddy Meet",2019
