"","X1","X2","X3","X4","X5","X6","X7","X8","X9","year"
"1","","","Athlete","","Mark","ST","Team","Date","Meet",2016
"2","1.","12","Amanda Gehrich","","4:41.39","CA","Tesoro","May 27","CIF-SS Masters Meet",2016
"3","2.","11","Kate Murphy","","4:42.31PR","VA","Lake Braddock Secondary","Apr 16","LB Hall of Fame Invitational",2016
"4","3.","12","Christina Aragon","","4:43.51PR","MT","Billings Senior","May 28","MHSA Class AA and C Championships",2016
"5","4.","11","Nevada Mareno","","4:43.91PR","NC","Leesville Road","Apr 30","CAP 8 Championship",2016
"6","5.","11","Julia Heymach","","4:44.00","TX","Houston Lamar","May 14","TX UIL 6A State Championships",2016
"7","6.","11","Cailie Logue","","4:44.08PR","KS","Girard","May 06","Shawnee Mission North Relays",2016
"8","7.","12","Katie Rainsberger","","4:44.31PR","CO","Air Academy","Mar 28","Longmont Invitational",2016
"9","8.","10","Annie Hill","","4:44.67PR","MT","Glacier","Apr 23","GREAT FALLS OPTIMIST CLUB WOMENS INVITATIONAL TRACK MEET",2016
"10","9.","-","Franchesca Rodriguez","","4:44.93PR","NY","CSIHS/McCown International Studies","May 15","Staten Island PSAL Borough Championship",2016
"11","10.","12","Anna West","","4:45.49PR","MO","Lafayette (Wildwood)","Jun 02","Festival of Miles",2016
"12","11.","11","Jordan Oakes","","4:45.77PR","WA","Holy Names Academy","May 18","Sea-King District II Championships",2016
"13","12.","12","Destiny Collins","","4:45.85","CA","Great Oak","May 27","CIF-SS Masters Meet",2016
"14","13.","12","Abby Gray","","4:45.87PR","TX","SA Alamo Heights","May 21","TX TTFCA Meet of Champions",2016
"15","14.","12","Emma Grace Hurley","","4:46.00PR","GA","Fellowship Christian","Mar 19","Coaches Invitational",2016
"16","15.","12","Mady Clahane","","4:46.26PR","PA","Cumberland Valley","May 28","PIAA Class AAA State Championships",2016
"17","16.","12","Kelly O'Brien","","4:46.30PR","IL","Palatine","Jun 03","Magis Miles",2016
"18","17.","12","Bethany Hasz","","4:46.34PR","MN","Alexandria","Jun 11","MSHSL Class AA State Championships",2016
"19","18.","11","Camille Davre","","4:46.40PR","WI","Whitefish Bay","Jun 04","WIAA D1 State Meet",2016
"20","19.","12","Madie Boreman","","4:46.55PR","TX","Leander Rouse","May 14","TX UIL 6A State Championships",2016
"21","20.","12","Fiona O'Keeffe","","4:46.82","CA","Davis","May 20","CIF Sac Joaquin Section D1 Finals",2016
"22","21.","12","Samantha Valentine","","4:46.87PR","WI","Middleton","Jun 04","WIAA D1 State Meet",2016
"23","22.","12","Aubrey Roberts","","4:47.66PR","WI","Eau Claire Memorial","Jun 04","WIAA D1 State Meet",2016
"24","23.","12","Elyse Prescott","","4:47.82PR","IA","Urbandale","Jun 02","Festival of Miles",2016
"25","24.","12","Julia Noah","","4:47.83PR","IA","Urbandale","Jun 02","Festival of Miles",2016
