"","X1","X2","X3","X4","X5","X6","X7","X8","X9","year"
"1","","","Athlete","","Mark","ST","Team","Date","Meet",2019
"2","1.","11","Taryn Parks","","4:37.07PR","PA","Greencastle Antrim","May 25","PIAA State Championships",2019
"3","2.","11","Marlee Starliper","","4:37.45PR","PA","Northern","May 25","PIAA State Championships",2019
"4","3.","11","Katelynne Hart","","4:38.00PR","IL","Glenbard West","May 31","Magis Miles",2019
"5","4.","12","Ericka VanderLende","","4:41.00PR","MI","Rockford","Jun 01","MHSAA LP Finals - Division 1",2019
"6","5.","10","Jacqueline Duarte","","4:42.58PR","CA","Chino Hills","May 25","CIF State Championship Finals",2019
"7","6.","10","Allie Janke","","4:43.60PR","WA","North Central","May 25","WIAA 2A, 3A, 4A State Championship Meet (HS)",2019
"8","7.","12","Meagen Lowe","","4:43.61PR","CA","Buchanan","May 25","CIF State Championship Finals",2019
"9","8.","11","Lexy Halladay","","4:43.74PR","ID","Mountain View (ID)","May 18","IHSAA 4A/5A Championships",2019
"10","9.","10","Audrey Suarez","","4:45.00PR","CA","Mayfield","May 25","CIF State Championship Finals",2019
"11","10.","11","Zofia Dudek","","4:45.06PR","MI","Ann Arbor Pioneer","Jun 01","MHSAA LP Finals - Division 1",2019
"12","11.","12","Olivia Howell","","4:45.25","OH","Solon","Jun 01","OHSAA D1 State Track & Field Championships",2019
"13","12.","12","Fatima Cortes","","4:45.41PR","CA","Great Oak","May 18","CIF-SS Masters Meet",2019
"14","13.","8","Elizabeth Floch","","4:45.90PR","WA","Valley Christian","May 25","WIAA 1B, 2B, 1A State Championship Meet (HS)",2019
"15","14.","10","Mia Barnett","","4:46.12PR","CA","Village Christian","May 25","CIF State Championship Finals",2019
"16","15.","11","Victoria Starcher","","4:46.61PR","WV","Ripley","May 18","WVSSAC State Championships",2019
"17","16.","10","Carlee Hansen","","4:46.65PR","UT","Woods Cross","Apr 06","Arcadia Invitational",2019
"18","17.","9","Addison Wiley","","4:46.93PR","IN","Huntington North","Jun 01","IHSAA Girls State Track & Field Championships",2019
"19","18.","12","Morgan Foster","","4:47.03PR","AZ","Chandler","Mar 23","79th Nike Chandler Rotary",2019
"20","19.","11","Valerie Lastra","","4:47.05PR","FL","Mater Academy","Mar 30","Pepsi Florida Relays",2019
"21","20.","11","Chloe Gonzalez","","4:47.21PR","NJ","North Hunterdon","Jun 08","NJSIAA State Meet Of Champions",2019
"22","21.","12","Samantha Bush","","4:47.23PR","OH","Turpin","May 24","OHSAA D1 Region 4",2019
"23","22.","12","Gabrielle Peterson","","4:47.90PR","CA","Healdsburg","May 11","NCS Redwood Empire Championships (@MCHS)",2019
"24","23.","12","Abby Loveys","","4:47.96","NJ","Randolph","Jun 01","NJSIAA Group 4 Championship",2019
"25","24.","9","Juliette Whittaker","","4:48.12PR","MD","Mt  de Sales","Apr 06","PIkesville Track Classic",2019
"26","25.","10","Abigail Lynch","","4:48.19PR","IN","Brownsburg","Jun 01","IHSAA Girls State Track & Field Championships",2019
"27","26.","12","Kristin Fahy","","4:48.34PR","CA","La Costa Canyon","Mar 23","APU Distance Meet of Champions",2019
"28","27.","10","Brynn Brown","","4:48.37PR","TX","Denton Guyer","May 11","TX UIL 6A State Championships",2019
"29","28.","10","Heidi Nielson","","4:48.71PR","TX","Katy Cinco Ranch","May 11","TX UIL 6A State Championships",2019
"30","29.","10","Emma Bucher","","4:48.75PR","OH","Centerville","May 24","OHSAA D1 Region 4",2019
"31","30.","10","Melissa Riggins","","4:48.79PR","PA","Shady Side Academy","May 03","Baldwin Invite",2019
"32","31.","11","Julia Trethaway","","4:48.82PR","NJ","West Morris Central","May 25","NJSIAA Sectionals North 2 Group 3",2019
"33","32.","10","Lindsay Stull","","4:49.05PR","OH","Hilliard Davidson","Jun 01","OHSAA D1 State Track & Field Championships",2019
"34","33.","10","Sophie Novak","","4:49.17PR","MI","Lake Orion","May 17","MHSAA LP Region 09-1 @ Lake Orion",2019
"35","34.","12","Amber Gall","","4:49.40PR","MI","Shepherd","Jun 01","MHSAA LP Finals - Division 3",2019
"36","35.","12","Adelyn Ackley","","4:49.42PR","MI","Hart","Jun 01","MHSAA LP Finals - Division 3",2019
"37","36.","12","Rayna Stanziano","","4:49.85PR","CA","Concord","May 04","Diablo Athletic League Championship Finals",2019
"38","37.","11","Bethany Graham","","4:50.06PR","VA","John Champe","Jun 01","VHSL 5A State Track & Field Championships",2019
"39","38.","11","Ellie Desmond","","4:50.09PR","VA","Broad Run","Jun 01","VHSL 5A State Track & Field Championships",2019
"40","","9","Natalie Cook","","4:50.09PR","TX","Lewisville Flower Mound","May 11","TX UIL 6A State Championships",2019
"41","40.","10","Julia David Smith","","4:50.35PR","WA","Issaquah","May 25","WIAA 2A, 3A, 4A State Championship Meet (HS)",2019
"42","41.","11","Parker Valby","","4:50.59PR","FL","East Lake","Mar 30","Pepsi Florida Relays",2019
"43","42.","8","Lauren Ping","","4:50.64PR","MN","Cotter","Apr 26","Hamline Elite Meet",2019
"44","43.","12","Emily Cole","","4:50.68PR","TX","Klein","May 11","TX UIL 6A State Championships",2019
"45","44.","9","Emma Hadley","","4:51.01PR","CA","Canyon (Anaheim)","May 18","CIF-SS Masters Meet",2019
"46","45.","12","Taylor Roe","","4:51.04","WA","Lake Stevens","May 15","3A/4A NW District 1 Championships - Day 1",2019
"47","46.","12","Caitlin Rose","","4:51.10PR","MI","Grand Blanc","May 17","MHSAA LP Region 09-1 @ Lake Orion",2019
"48","47.","12","Alexa Westley","","4:51.13PR","NJ","Warren Hills Reg","May 25","NJSIAA Sectionals North 2 Group 3",2019
"49","48.","12","Judy Rector","","4:51.35PR","MI","Hanover-Horton","May 03","2019 Golden Triangle Meet of Champions",2019
"50","49.","9","Katrina Schlenker","","4:51.36PR","IL","Batavia","Apr 20","Distance Night in Palatine",2019
