"","X1","X2","X3","X4","X5","X6","X7","X8","X9","year"
"1","","","Athlete","","Mark","ST","Team","Date","Meet",2017
"2","1.","12","Sydney McLaughlin","","51.88","NJ","Union Catholic Reg","Jun 03","NJSIAA Non-Public A Championships",2017
"3","2.","12","Shae Anderson","","51.99PR","CA","Norco","Apr 15","Mt SAC Relays",2017
"4","3.","15-16","Arria Minor","","52.05PR","CO","Denver Lightning Track","Jun 24","USATF Junior Outdoor Championships (Day 3)",2017
"5","4.","12","Syaira Richardson","","52.25PR","","Unattached","Jun 24","USATF Junior Outdoor Championships (Day 3)",2017
"6","5.","12","Symone Mason","","52.42PR","FL","Miami Southridge","Mar 25","GMAC Championships",2017
"7","6.","12","Lynna Irby","","52.83","IN","Pike","Jun 18","New Balance Nationals Outdoor",2017
"8","7.","12","Natalie Price","","52.93PR","OH","Granville","May 26","OHSAA D1 Region 3",2017
"9","8.","11","Kennedy Simon","","52.94","GA","Westlake","May 13","GHSA 7A State Championship",2017
"10","9.","12","Karimah Davis","","52.98PR","FL","Palm Beach Central","May 06","FHSAA 4A State Championships",2017
"11","10.","11","Bailey Lear","","53.02PR","TX","Frisco Heritage","May 20","TX TTFCA Meet of Champions",2017
"12","11.","-","Taylor Manson","","53.18PR","MI","Oak Park","Jun 18","New Balance Nationals Outdoor",2017
"13","12.","12","Taylor Manson","","53.21PR","MI","East Lansing","Jun 03","MHSAA LP D1 State Final",2017
"14","13.","11","Tierra Robinson-Jones","","53.24","CA","Bishop O'Dowd","Jun 03","CIF State Championship Finals",2017
"15","14.","11","Maliyah Medley","","53.32","CA","El Toro","Jun 03","CIF State Championship Finals",2017
"16","15.","10","Sterling Lester","","53.36","GA","Marietta","Apr 29","GHSA 7A Section A",2017
"17","16.","12","Jai'lyn Merriweather","","53.44PR","WA","Union","Jun 17","Brooks PR Invitational",2017
"18","","10","Brooke Jaworski","","53.44PR","","Unattached","Jul 30","USATF National Junior Olympic Championships",2017
"19","18.","12","Morgan Stewart","","53.49PR","TX","Houston Jersey Village","Apr 29","UIL 6A Region III (F-Sa)",2017
"20","19.","15-16","Kimberly Harris","","53.50","GA","Jackrabbit Track & Field Clinic","Jul 30","USATF National Junior Olympic Championships",2017
"21","20.","12","Morgan Burks-Magee","","53.51PR","TX","Rockwall-Heath","May 13","TX UIL 6A State Championships (F-Sa)",2017
"22","21.","11","Kiya Oviosun","","53.53PR","NC","Southeast Guilford","May 19","NCHSAA 4A State Championship",2017
"23","22.","10","Britton Wilson","","53.63","VA","Mills E Godwin","May 06","Dogwood Classic",2017
"24","23.","12","Carolyn Wilson","","53.67PR","CA","Oaks Christian","Mar 18","Maurice Green Invite",2017
"25","24.","11","Paris Peoples","","53.68PR","NY","Benjamin Cardozo","Jun 10","NYSPHSAA State Championships",2017
"26","25.","12","Kaelin Roberts","","53.76","CA","Carson","Apr 15","Mt SAC Relays",2017
"27","26.","12","Uche Nwogwugwu","","53.80PR","PA","North Penn (Lansdale)","May 27","PIAA Class AAA State Championships (F-Sa)",2017
"28","27.","11","Esther Ekeanyanwu","","53.83PR","TX","Allen","May 13","TX UIL 6A State Championships (F-Sa)",2017
"29","28.","15-16","Alysia Johnson","","53.86","NC","Bull City Express","Jul 30","USATF National Junior Olympic Championships",2017
"30","29.","11","Maiah Walker","","53.90PR","","Unattached","May 27","Flo Golden South Classic",2017
"31","","10","Jan'Taijah Ford","","53.90","FL","Northeast (Oakland Park)","May 06","FHSAA 3A State Championships",2017
"32","","15-16","Rosaline Effiong","","53.90PR","TX","North Texas Cheetahs Track","Jun 24","USATF Southwestern Association Junior Olympic Championships",2017
"33","","11","Alexis Surrell","","53.90PR","CA","Newark Memorial","Jun 02","CIF State Championship Prelims",2017
"34","33.","12","Daija Lampkin","","53.93PR","DE","Middletown (DE)","May 12","New Castle County Championships",2017
"35","34.","17-18","Kennedy Blackmon","","53.96PR","TX","Destined To Run","Jul 30","USATF National Junior Olympic Championships",2017
"36","","12","Mariya Hudson","","53.96PR","","Unattached","Jun 03","Great Southwest Classic",2017
"37","36.","-","Bryannia Murphy","","54.02PR","TX","DeSoto","Apr 13","UIL 6A District 07 (W-Th)",2017
"38","37.","12","Stephanie Davis","","54.03PR","MD","Riverdale Baptist","Jun 18","New Balance Nationals Outdoor",2017
"39","38.","12","Sammy Watson","","54.05","NY","Rush Henrietta Senior","May 13","Royal Comet Invitational",2017
"40","39.","9","Ashton Lindley","","54.10PR","GA","Campbell","Apr 22","GHSA Region 2-AAAAAAA",2017
"41","40.","10","Jaydan Wood","","54.16","OH","Pickerington Central","Jun 03","OHSAA D1 State Meet",2017
"42","41.","-","Kiana Banks","","54.24PR","GA","Spalding County","May 13","GHSA 4A State Championship",2017
"43","42.","17-18","Kennedy Simon","","54.27PR","GA","Gazelle Track","Jun 03","USATF Georgia Association Junior Olympic Area A Preliminary",2017
"44","43.","10","Janae Barksdale","","54.28PR","MI","Oak Park","Jun 18","New Balance Nationals Outdoor",2017
