"","Athlete","State","Coll.Time","Gr12","Gr11","Gr10","Gr9","Team","College.Grade","Name.of.College","Year","College.Conf","College.All.Conf","College.AA","Olympian","College.Division","Event"
"1","Aaliyah Miller","TX",00:02:02.4,NA,00:02:08.94,00:02:07.07,NA,"McKinney Boyd","FR","Baylor",2018,"Big 12",1,0,0,"D1","800m"
"2","Abbey Whiting","MN",NA,00:02:41.92,NA,NA,NA,"Mesabi East","","",2018,"MIAC",0,0,0,"D3","800m"
"3","Abbie Fredrick","WY",00:02:17.5,00:02:26.93,NA,NA,00:02:25.47,"Cheyenne East","","Black Hills St.",2018,"Rocky Mtn",0,0,0,"D2","800m"
"4","Abbie Harrelson","FL",00:02:12.8,00:02:10.71,NA,NA,NA,"Niceville Senior","","Florida",2018,"SEC",0,0,0,"D1","800m"
"5","Abby Fioresi","IL",00:02:15.5,00:02:12.37,00:02:18.39,NA,NA,"Aurora Central Catholic","FR","Xavier",2018,"Big East",0,0,0,"D1","800m"
"6","Addy Townsend","BC",00:02:10.1,00:02:10.65,NA,00:02:25.20,NA,"Dr. Charles Best","JR","Simon Fraser",2018,"GNAC",1,0,0,"D2","800m"
"7","Adriana Velasco","CA",00:02:25.5,00:02:30.15,00:02:26.38,00:02:38.06,00:02:44.11,"Downey","JR "," Cal St. Los Angeles",2018,"CCAA",0,0,0,"D2","800m"
"8","Aleah Johnson","GA",00:02:38.7,00:02:18.07,00:02:19.89,00:02:21.02,NA,"Sequoyah","","North Georgia",2018,"Peach Belt",0,0,0,"D2","800m"
"9","Alethia Marrero","IN",00:02:03.1,00:02:15.62,00:02:16.80,00:02:16.42,NA,"Ben Davis","SR","Arizona State",2018,"Pac 12",1,0,0,"D1","800m"
"10","Alexis Passino","MI",00:02:37.4,NA,NA,00:02:34.30,NA,"Indian River Inland Lakes","","Lake Superior State",2018,"GLIAC",0,0,0,"D2","800m"
"11","Alicia Thompson","CO",00:02:17.8,00:02:16.00,00:02:26.43,00:02:21.65,00:02:37.34,"Ralston Valley","JR","Northern Colorado",2018,"Big Sky",0,0,0,"D1","800m"
"12","Alicia Villarreal","CA",00:02:23.6,00:02:20.47,00:02:23.14,00:02:26.35,NA,"Bonita","SO "," Cal St. San Marcos",2018,"CCAA",0,0,0,"D2","800m"
"13","Alison Parker","WI",00:02:12.1,00:02:16.64,00:02:13.97,00:02:12.36,NA,"Neenah","SR","Marquette",2018,"Big East",0,0,0,"D1","800m"
"14","Alon Lewis","FL",00:02:08.0,00:02:25.15,00:02:13.78,00:02:16.92,NA,"St Thomas Aquinas","","Miss State",2018,"SEC",0,0,0,"D1","800m"
"15","Amanda Aquinaga","MI",00:02:27.5,00:02:33.60,00:02:28.74,00:02:36.77,00:02:29.34,"Saginaw Heritage","","Northwood (Mich.)",2018,"GLIAC",0,0,0,"D2","800m"
"16","Amanda Dillon","AR",00:02:18.3,00:02:12.63,NA,NA,NA,"Har-Ber","JR","Baylor",2018,"Big 12",0,0,0,"D1","800m"
"17","Amari Onque-Shabazz","NJ",00:02:12.0,00:02:12.35,NA,NA,NA,"Union Catholic Reg","SO","Villanova",2018,"Big East",0,0,0,"D1","800m"
"18","Amber Tanner","TN",00:02:09.8,00:02:15.54,00:02:15.01,NA,NA,"Ravenwood","","Georgia",2018,"SEC",0,0,0,"D1","800m"
"19","Amelia Hornseth","MN",NA,00:02:20.25,00:02:22.40,00:02:30.69,00:02:39.08,"Nova Classical Academy","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"20","Amy Gasperlin","MN",00:02:15.2,00:02:21.28,00:02:22.81,NA,NA,"Totino-Grace","SO","Marquette",2018,"Big East",0,0,0,"D1","800m"
"21","Amy Quinones","CA",00:02:17.4,00:02:16.30,00:02:20.19,00:02:23.55,00:02:31.46,"San Benito (Hollister)","SO","Sacramento St.",2018,"Big Sky",0,0,0,"D1","800m"
"22","Andrea Bolduc","MA",NA,NA,00:02:32.62,00:02:29.87,NA,"Auburn","","",2018,"UAA",0,0,0,"D3","800m"
"23","Andrea Lucero","TX",00:02:21.0,00:02:21.24,NA,NA,NA,"El Paso Americas","FR","UTEP",2018,"Conf USA",0,0,0,"D1","800m"
"24","Anna Kroll","WI",NA,NA,00:02:39.15,00:02:35.66,00:02:37.39,"Kettle Moraine","","",2018,"MIAC",0,0,0,"D3","800m"
"25","Anna Passannante","NC",00:02:13.0,00:02:13.84,00:02:17.75,00:02:15.96,NA,"Chapel Hill","SO","Williams",2018,"NESCAC",1,0,0,"D3","800m"
"26","Anna Willig","PA",00:02:18.3,00:02:16.75,NA,NA,NA,"Great Valley","SO","Middlebury",2018,"NESCAC",0,0,0,"D3","800m"
"27","Annalise Wagner","MO",NA,00:02:15.88,00:02:19.11,00:02:26.69,NA,"John Burroughs","","",2018,"UAA",1,1,0,"D3","800m"
"28","Ariane Arndt","CA",00:02:10.8,00:02:08.62,00:02:10.05,00:02:15.27,NA,"St Francis","SO","California",2018,"Pac 12",0,0,0,"D1","800m"
"29","Ashlee Johnson","CO",00:02:21.4,00:02:18.40,00:02:17.37,00:02:20.18,00:02:25.39,"Mountain Vista","SR","Coast Guard",2018,"NEWMAC",0,0,0,"D3","800m"
"30","Ashleigh Macleod","IN",00:02:10.8,00:02:14.80,00:02:15.86,00:02:17.71,00:02:11.32,"Penn","FR","Lewis",2018,"GLVC",1,0,0,"D2","800m"
"31","Ashley Stevens","IA",NA,00:02:19.34,00:02:34.22,00:02:21.90,00:02:26.34,"Des Moines Christian","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"32","Ashton Leslie","MO",00:02:47.8,00:02:33.23,00:02:41.51,NA,NA,"Washington","SO","Quincy",2018,"GLVC",0,0,0,"D2","800m"
"33","Aurora Mala","IL",00:02:17.8,00:02:20.50,NA,NA,NA,"Wheeling","SO","Wis.-Parkside",2018,"GLVC",0,0,0,"D2","800m"
"34","Ava Shipman","HI",00:02:38.5,00:02:16.88,00:02:18.55,00:02:21.27,NA,"Seabury Hall","FR","Wellesley",2018,"NEWMAC",0,0,0,"D3","800m"
"35","Avery Ewing","IN",NA,00:02:27.82,00:02:26.64,00:02:27.09,00:02:31.47,"Eastern (Greentown)","","",2018,"OAC",0,0,0,"D3","800m"
"36","Ayden Eickhoff","MT",00:02:13.7,NA,00:02:15.97,00:02:20.58,00:02:20.79,"Corvallis","JR","Bates",2018,"NESCAC",1,0,0,"D3","800m"
"37","Aziza Ayoub","OH",00:02:08.8,00:02:09.11,00:02:09.76,NA,NA,"Jonathan Alder","FR","Ohio State",2018,"Big 10",0,0,0,"D1","800m"
"38","Bailey Tregoning","MD",00:02:15.0,00:02:19.25,00:02:20.88,00:02:33.52,00:02:31.93,"Linganore","JR","MIT",2018,"NEWMAC",1,0,0,"D3","800m"
"39","Barkley Castro","WV",00:02:14.6,00:02:20.04,00:02:17.57,00:02:21.39,NA,"Winfield","SR","Marshall",2018,"Conf USA",0,0,0,"D1","800m"
"40","Baylee Nelson","TX",00:02:11.8,00:02:15.87,00:02:18.28,NA,00:02:30.80,"Northwest","JR","North Texas",2018,"Conf USA",0,0,0,"D1","800m"
"41","Betsy Duehr","IA",NA,NA,00:02:18.84,NA,NA,"Wahlert","","",2018,"American Rivers Conf",1,1,0,"D3","800m"
"42","Bianca Bryant","CA",00:02:09.6,00:02:09.12,NA,00:02:10.65,00:02:22.24,"Piedmont Hills","JR "," San Francisco St.",2018,"CCAA",1,1,0,"D2","800m"
"43","Bianca Tinoco","CA",00:02:11.7,00:02:11.00,00:02:09.35,NA,NA,"Golden Valley (SO)","SO","Arizona State",2018,"Pac 12",0,0,0,"D1","800m"
"44","Blake Dodge","NC",00:02:08.3,00:02:13.86,00:02:09.20,00:02:16.03,00:02:17.96,"West Carteret","JR","North Carolina",2018,"ACC",0,0,0,"D1","800m"
"45","Brianna Bisson","MA",00:02:17.6,00:02:21.38,00:02:24.88,00:02:19.33,NA,"Lincoln-Sudbury Regional","SR","Middlebury",2018,"NESCAC",0,0,0,"D3","800m"
"46","Brittany Aveni","OH",00:02:08.3,00:02:07.03,00:02:07.48,00:02:14.53,NA,"Geneva","SO","Duke",2018,"ACC",0,0,0,"D1","800m"
"47","Brittney Duquette","CA",00:02:19.0,00:02:25.56,NA,NA,NA,"Claremont","SO "," Cal St. East Bay",2018,"CCAA",0,0,0,"D2","800m"
"48","Brook Eberle","CA",00:02:24.9,00:02:17.74,00:02:19.12,00:02:19.51,00:02:21.91,"Bella Vista","","Colorado Mines",2018,"Rocky Mtn",0,0,0,"D2","800m"
"49","Brook Sunderman","MN",NA,00:02:33.58,NA,NA,NA,"Mountain Lake Area","","",2018,"MIAC",0,0,0,"D3","800m"
"50","Cailey Roth","SD",00:02:17.8,00:02:20.35,00:02:22.20,00:02:20.70,00:02:24.61,"Freeman Public","","Black Hills St.",2018,"Rocky Mtn",0,0,0,"D2","800m"
"51","Caitie Faust","GA",00:02:06.7,00:02:12.54,00:02:15.89,00:02:19.03,00:02:32.20,"Marist","JR","Utah",2018,"Pac 12",0,0,0,"D1","800m"
"52","Caitlin Carroll","KY",00:02:19.6,00:02:24.70,00:02:27.20,NA,NA,"Sacred Heart Academy","SR","Bellarmine",2018,"GLVC",0,0,0,"D2","800m"
"53","Cammy Sargent","CO",00:02:08.6,00:02:12.43,NA,00:02:20.07,00:02:26.55,"Green Mountain","JR","Northern Colorado",2018,"Big Sky",1,0,0,"D1","800m"
"54","Camryn Larsen","NE",NA,00:02:23.61,00:02:24.37,00:02:37.62,00:02:29.22,"Millard West","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"55","Carissa Schurr","MI",00:02:17.1,00:02:17.93,00:02:21.22,00:02:25.56,00:02:35.03,"Frankenmuth","","Ferris State",2018,"GLIAC",0,0,0,"D2","800m"
"56","Carley Cronen","MN",NA,00:02:25.48,00:02:28.90,NA,NA,"New London-Spicer","","",2018,"MIAC",0,0,0,"D3","800m"
"57","Carly Burnup","NJ",00:02:17.8,00:02:19.70,NA,NA,NA,"Southern Regional","","Grand Valley St.",2018,"GLIAC",0,0,0,"D2","800m"
"58","Carly Scheuerman","MN",NA,00:02:24.00,00:02:22.85,NA,NA,"St Croix Preparatory Academy","","",2018,"MIAC",0,0,0,"D3","800m"
"59","Carly Smiedala","MT",00:02:07.7,00:02:08.52,00:02:13.21,00:02:12.10,00:02:14.95,"Helena","SO","Montana",2018,"Big Sky",1,0,0,"D1","800m"
"60","Carolyn Carpenter","IL",NA,00:02:26.00,00:02:24.29,00:02:22.09,NA,"Naperville (Central)","","",2018,"MIAC",0,0,0,"D3","800m"
"61","Carydaliz Fontanez","OS",00:02:20.8,00:02:23.94,00:02:21.57,00:02:27.48,NA,"N.C. Kinnick","SR","Florida Atlantic",2018,"Conf USA",0,0,0,"D1","800m"
"62","Cassie Schuster","OH",00:02:17.4,00:02:14.20,00:02:19.17,NA,NA,"Ashland","","Grand Valley St.",2018,"GLIAC",0,0,0,"D2","800m"
"63","Chloe Liebold","OH",00:02:36.0,00:02:22.88,NA,00:02:27.28,NA,"St Joseph Central Cath","","Tiffin",2018,"GLIAC",0,0,0,"D2","800m"
"64","Chynna Phan","WA",00:02:11.0,00:02:14.15,00:02:20.63,00:02:27.33,NA,"Mount Baker","SR","Seattle Paci",2018,"GNAC",0,0,0,"D2","800m"
"65","Ciara Williams","OR",NA,NA,00:02:25.74,00:02:32.34,00:02:37.54,"Lincoln","","",2018,"MIAC",0,0,0,"D3","800m"
"66","Claire Traum","CA",00:02:13.7,00:02:12.27,00:02:15.27,00:02:37.85,00:02:35.36,"Castilleja","FR","Bowdoin",2018,"NESCAC",0,0,0,"D3","800m"
"67","Colleen Gilbert","TX",00:02:16.0,00:02:17.33,00:02:20.62,NA,NA,"Westwood","JR","UTSA",2018,"Conf USA",0,0,0,"D1","800m"
"68","Courtney Bakken","MO",00:02:25.7,00:02:31.30,00:02:30.16,NA,NA,"Pleasant Hill","SO","Truman St",2018,"GLVC",0,0,0,"D2","800m"
"69","Courtney Clayton","IL",00:02:07.2,00:02:09.30,00:02:08.48,00:02:12.97,NA,"Hononegah","","Vanderbilt",2018,"SEC",0,0,0,"D1","800m"
"70","Courtney Clody","OH",00:02:06.4,00:02:10.02,NA,00:02:23.11,00:02:29.30,"Perrysburg","SR","Ohio State",2018,"Big 10",0,0,0,"D1","800m"
"71","Courtney Filliben","FL",00:02:11.1,00:02:18.07,00:02:15.03,00:02:24.80,NA,"Our Lady Of Lourdes","SR","Southern Miss.",2018,"Conf USA",0,0,0,"D1","800m"
"72","Dana Cebulski","NY",00:02:19.2,NA,00:02:24.35,NA,NA,"East Hampton","JR","Geneseo",2018,"SUNYAC",0,0,0,"D3","800m"
"73","Dana Lowney","MA",00:02:20.0,00:02:18.90,00:02:18.04,00:02:21.30,00:02:30.73,"Oliver Ames","FR","Providence",2018,"Big East",0,0,0,"D1","800m"
"74","Dana Maydew","CO",00:02:09.6,NA,NA,00:02:32.40,00:02:25.27,"Niwot","SR","Clemson",2018,"ACC",0,0,0,"D1","800m"
"75","Danae Rivers","CT",00:02:07.1,00:02:08.87,00:02:05.86,00:02:10.98,00:02:11.27,"Wilbur Cross","SO","Penn State",2018,"Big 10",0,0,0,"D1","800m"
"76","Danielle Coleman","TX",00:02:11.1,00:02:17.10,NA,NA,00:02:22.27,"McKinney North","SR","OK State",2018,"Big 12",0,0,0,"D1","800m"
"77","Danielle Griffin","MA",00:02:12.0,00:02:21.29,00:02:22.84,00:02:15.58,00:02:18.80,"Norwell","SR","Amherst",2018,"NESCAC",1,1,0,"D3","800m"
"78","Denise Reis","CA",00:02:14.2,00:02:29.57,00:02:36.71,00:02:29.44,00:02:33.69,"Livingston","SR","Sacramento St.",2018,"Big Sky",0,0,0,"D1","800m"
"79","Destiny Johnson","FL",00:02:09.1,00:02:16.14,00:02:26.44,00:02:25.26,NA,"Homestead Senior","SR","Florida A&M",2018,"MEAC",0,0,0,"D1","800m"
"80","Destiny White","TX",00:02:24.9,00:02:27.35,00:02:38.47,00:02:33.00,00:02:40.83,"El Paso Chapin","FR","UTEP",2018,"Conf USA",0,0,0,"D1","800m"
"81","Doyin Ogundiran","NY",NA,00:02:21.84,00:02:28.23,NA,NA,"Half Hollow Hills East","","",2018,"UAA",0,0,0,"D3","800m"
"82","Elise Chojnacki","OH",NA,00:02:18.60,00:02:17.10,00:02:16.69,00:02:17.51,"North Royalton","","",2018,"OAC",0,0,0,"D3","800m"
"83","Elise Moore","IL",00:02:16.2,NA,NA,NA,00:02:31.48,"Naperville (North)","SR","Oklahoma",2018,"Big 12",0,0,0,"D1","800m"
"84","Elissa Mann","CO",00:02:05.2,00:02:10.39,00:02:16.56,NA,00:02:16.76,"Monarch","SO","Colorado",2018,"Pac 12",0,0,0,"D1","800m"
"85","Elizabeth Endy","MN",00:02:10.3,00:02:11.23,00:02:20.72,00:02:17.44,NA,"Minnetonka","SR","DePaul",2018,"Big East",0,0,0,"D1","800m"
"86","Elizabeth Whitcomb","MN",NA,00:02:23.70,00:02:24.09,00:02:26.16,00:02:27.51,"Henry Sibley","","",2018,"MIAC",0,0,0,"D3","800m"
"87","Ella Brown","ME",00:02:50.0,NA,NA,NA,00:02:44.35,"St Dominic Regional","FR","Wheaton (Mas",2018,"NEWMAC",0,0,0,"D3","800m"
